ID,Name,Link,UserName,Type,NumberTrack,Duration,DateCreate,Like,Repost,TrackIds
41,indie,/jerel-antonio-watkins/sets/indie,Jerel Antonio Watkins,None,476,36:50:31,2018-12-31T21:58:58.000Z,7,0,https://soundcloud.com/blouse/into-black;https://soundcloud.com/skyferreira/everything-is-embarrassing-ft;https://soundcloud.com/this-is-music/kisses-kisses;https://soundcloud.com/haimtime/forever
42,indie,/agung-surya-dilaga/sets/indie,Agung Surya Dilaga,None,339,26:04:32,2017-11-18T09:38:06.000Z,4,1,https://soundcloud.com/dialogdinihari/renovasi-otak;https://soundcloud.com/dialogdinihari/senandung-rindu;https://soundcloud.com/dialogdinihari/pohon-tua-bersandar;https://soundcloud.com/dialogdinihari/aku-adalah-kamu
43,Chill Tracks (Winter 2015),/best-indie-playlists/sets/chill-tracks-winter-2015,Best Indie Playlists,Chill,21,1:25:36,2015-11-23T00:14:12.000Z,"19,446","1,886",https://soundcloud.com/clonesofclones/this-means-war-1;https://soundcloud.com/shaedband/thunder-shaed;https://soundcloud.com/lordwilling/green-doesnt-look-good-on-you;https://soundcloud.com/clonesofclones/beautiful-1
44,indie,/user-388435048/sets/indie,isobel,None,451,29:15:18,2016-08-16T04:18:24.000Z,6,0,https://soundcloud.com/lions-2/the-bird-the-cage;https://soundcloud.com/neweverymorningmusic/beach-baby-bon-iver;https://soundcloud.com/senseless-nothing/vance-joy-great-summer;https://soundcloud.com/iamlistener/04-wooden-heart
45,Indie,/chillcall/sets/indie,Chill Call,None,305,23:48:00,2013-09-03T21:07:19.000Z,561,161,https://soundcloud.com/etta-bond/etta-x-raf-riley-supposed-to;https://soundcloud.com/rac/the-shins-sleeping-lessons-rac-mix;https://soundcloud.com/daftside-2/06-daftside-beyond;https://soundcloud.com/satellitestories/campfire
46,Indie,/lauren-nigh-3/sets/indie,Lauren Nigh,None,412,25:45:31,2015-04-21T05:23:37.000Z,5,0,https://soundcloud.com/neonindianiiloveoficial/neon-indian-change-of-coast;https://soundcloud.com/nite-jewel/nowhere-to-go;https://soundcloud.com/ageofconsent/colours-gta-v-soundtrack;https://soundcloud.com/twin-shadow/old-love-new-love
47,Indie,/kaijukitten/sets/indie,Kaiju Kitten,Indie,447,37:01,2017-12-02T05:49:03.000Z,2,0,https://soundcloud.com/glassanimals/life-itself;https://soundcloud.com/ohwondermusic/body-gold;https://soundcloud.com/coast-modern/the-way-it-was-1;https://soundcloud.com/mattandkim/lets-run-away
48,indie,/user-46760167/sets/indie,bagaspriandi,None,292,22:45:03,2020-07-06T18:42:10.000Z,0,0,https://soundcloud.com/user-809647125/kekasih-bayangan-chakra-khan-lirik-felix-irwan-cover;https://soundcloud.com/cemilan-danar/andai-aku-bisa-chrisye-felix-cover;https://soundcloud.com/prasta-bagavata/pergilah-kasih-chrisye-felix;https://soundcloud.com/prasta-bagavata/harmoni-padi-felix-irwan-cover
49,indie,/donyabasim/sets/indie,Basim,None,385,36:07:27,2018-08-26T19:09:33.000Z,5,1,https://soundcloud.com/redbull/little-wolves-lost-my-mind-1;https://soundcloud.com/iameden/02-09am;https://soundcloud.com/edwinrphl/harbours;https://soundcloud.com/whisperertunes/confide
50,Indie,/gabrielot/sets/serenidad,Gabrielot,Electronic,423,31:15:39,2016-08-10T17:31:45.000Z,0,0,https://soundcloud.com/nombe/nombe-vs-sonny-alven-california-girls;https://soundcloud.com/radioact/keyshia-cole-shoulda-let-yo-go-rah-deep-remix;https://soundcloud.com/officialsaturn/saturn-orygin-woke;https://soundcloud.com/riccardomarchirm/03-ooh
